Id,Company,Location_HQ,Country,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_Layoffs,Industry,Stage,Money_Raised_in__mil
986,Denver,Denver,USA,87,2020-04-07,15.00,580,493,Retail,"Series D",85
987,Boston,Boston,USA,550,2024-02-15,10.00,5500,4950,Food,Post-IPO,962
988,Dragos,Toronto,Canada,26,2022-12-20,40.00,65,39,Finance,"Series A",10
989,Denver,Denver,USA,109,2023-01-18,12.00,908,799,Travel,Post-IPO,179
990,Boston,Boston,USA,870,2022-08-19,5.00,17400,16530,Retail,Post-IPO,NULL
991,Denver,Denver,USA,130,2020-03-16,22.00,591,461,Travel,"Series C",79
992,Drata,"San Francisco Bay Area",USA,86,2023-10-02,40.00,215,129,Finance,"Series B",50
993,Denver,Denver,USA,137,2020-05-26,100.00,137,NULL,Education,Acquired,108
994,Drift,Bengaluru,India,1100,2024-01-08,5.00,22000,20900,Retail,Acquired,13
995,Denver,Denver,USA,137,2020-05-26,100.00,137,0,Education,Acquired,108
996,Denver,Denver,USA,164,2023-05-29,14.00,1171,1007,Travel,"Series F",224
997,Drift,"San Francisco Bay Area",USA,15,2023-12-11,33.00,45,30,Finance,"Series C",302
998,Denver,Denver,USA,172,2023-05-24,12.00,1433,1261,Education,"Series F",643
999,"Drip Capital",Austin,USA,2200,2023-03-22,15.00,14667,12467,HR,Acquired,5
1000,Denver,Denver,USA,175,2023-09-12,20.00,875,700,Travel,"Series F",224
